马克思　恩格斯：《共产党宣言》	Manifest der Kommunistischen Partei Karl MarxFriedrich Engels
它揭穿了经济学家的虚伪的粉饰。	Er enthüllte die gleißnerischen Beschönigungen der Oekonomen.
它确凿地证明了机器和分工的破坏作用、资本和地产的积聚、生产过剩、危机、小资产者和小农的必然没落、无产阶级的贫困、生产的无政府状态、财富分配的极不平均、各民族之间的毁灭性的工业战争，以及旧风尚、旧家庭关系和旧民族性的解体。	Er wies unwiderleglich die zerstörenden Wirkungen der Maschinerie und der Theilung der Arbeit nach, die Koncentration der Kapitalien und des Grundbesitzes, die Ueberproduktion, die Krisen, den nothwendigen Untergang der kleinen Bürger und Bauern, das Elend des Proletariats, die Anarchie in der Produktion, die schreienden Mißverhältnisse in der Vertheilung des Reichthums, den industriellen Vernichtungskrieg der Nationen unter einander, die Auflösung der alten Sitten, der alten Familien-Verhältnisse, der alten Nationalitäten.
但是，这种社会主义按其积极的内容来说，或者是企图恢复旧的生产资料和交换手段，从而恢复旧的所有制关系和旧的社会，或者是企图重新把现代的生产资料和交换手段硬塞到已被它们突破而且必然被突破的旧的所有制关系的框子里去。	Seinem positiven Gehalte nach will jedoch dieser Socialismus entweder die alten Produktionsund Verkehrsmittel wiederherstellen und mit ihnen die alten Eigenthumsverhältnisse und die alte Gesellschaft, oder er will die modernen Produktionsund Verkehrsmittel in den Rahmen der alten Eigenthumsverhältnisse, die von ihnen gesprengt werden, gesprengt werden mußten, gewaltsam wieder einsperren.
它在这两种场合都是反动的，同时又是空想的。	In beiden Fällen ist er reaktionär und utopistisch zugleich.
工业中的行会制度，农业中的宗法经济，──这就是它的最后结论。	Zunftwesen in der Manufaktur und patriarchalische Wirthschaft auf dem Lande, das sind seine letzten Worte.
这一思潮在它以后的发展中变成了一种怯懦的悲叹。	In ihrer weitern Entwicklung hat sich diese Richtung in einen feigen Katzenjammer verlaufen.
（丙）德国的或“真正的”社会主义	c) Der deutsche oder der wahre Socialismus.
法国的社会主义和共产主义的文献是在居于统治地位的资产阶级的压迫下产生的，并且是同这种统治作斗争的文字表现，这种文献被搬到德国的时候，那里的资产阶级才刚刚开始进行反对封建专制制度的斗争。	Die socialistische und kommunistische Literatur Frankreichs, die unter dem Druck einer herrschenden Bourgeoisie entstand und der literarische Ausdruck des Kampfes gegen diese Herrschaft ist, wurde nach Deutschland eingeführt zu einer Zeit, wo die Bourgeoisie soeben ihren Kampf gegen den feudalen Absolutismus begann.
德国的哲学家、半哲学家和才子们，贪婪地抓住了这种文献，不过他们忘记了：在这种著作从法国搬到德国的时候，法国的生活条件却没有同时搬过去。	Deutsche Philosophen, Halbphilosophen und Schöngeister bemächtigten sich gierig dieser Literatur und vergassen nur, daß bei der Einwanderung jener Schriften aus Frankreich die französischen Lebensverhältnisse nicht gleichzeitig nach Deutschland eingewandert waren.
在德国的条件下，法国的文献完全失去了直接实践的意义，而只具有纯粹文献的形式。	Den deutschen Verhältnissen gegenüber verlor die französische Literatur alle unmittelbar praktische Bedeutung und nahm ein rein literarisches Aussehen an.
它必然表现为关于真正的社会、关于实现人的本质的无谓思辨。	Als müßige Spekulation über die wahre Gesellschaft, über die Verwirklichung des menschlichen Wesens mußte sie erscheinen.
这样，第一次法国革命的要求，在十八世纪的德国哲学家看来，不过是一般“实践理性”的要求，而革命的法国资产阶级的意志的表现，在他们心目中就是纯粹意志、本来面目的意志、真正人的意志的规律。	So hatten für die deutschen Philosophen des 18. Jahrhunderts die Forderungen der ersten französischen Revolution nur den Sinn, Forderungen der „praktischen [19] Vernunft“ im Allgemeinen zu sein und die Willensäußerungen der revolutionären französischen Bourgeoisie bedeuteten in ihren Augen die Gesetze des reinen Willens, des Willens wie er sein muß, des wahrhaft menschlichen Willens.
德国著作家的唯一工作，就是把新的法国的思想同他们的旧的哲学良心调和起来，或者毋宁说，就是从他们的哲学观点出发去掌握法国的思想。	Die ausschließliche Arbeit der deutschen Literaten bestand darin, die neuen französischen Ideen mit ihrem alten philosophischen Gewissen in Einklang zu setzen, oder vielmehr von ihrem philosophischen Standpunkt aus die französischen Ideen sich anzueignen.
这种掌握，就象掌握外国语一样，是通过翻译的。	Diese Aneignung geschah in derselben Weise, wodurch man sich überhaupt eine fremde Sprache aneignet, durch die Uebersetzung.
大家知道，天主教僧侣曾经在古代异教经典的手抄本上面写上荒诞的天主教圣徒传。	Es ist bekannt, wie die Mönche Manuscripte, worauf die klassischen Werke der alten Heidenzeit verzeichnet waren, mit abgeschmackten katholischen Heiligengeschichten überschrieben.
德国著作家用相反的态度对待世俗的法国文献。	Die deutschen Literaten gingen umgekehrt mit der profanen französischen Literatur um.
他们在法国的原著下面写上自己的哲学胡说。	Sie schrieben ihren philosophischen Unsinn hinter das französische Orginal.
例如， 他们在批判货币关系的法国原著下面写上“人的本质的外化（Entau-Berung）”，在批判资产阶级国家的法国原著下面写上所谓“抽象普遍物的统治的废除”，等等。	Z. B. hinter die französische Kritik der Geldverhältnisse schrieben sie „Entäußerung des menschlichen Wesens“, hinter die französische Kritik des Bourgeoisstaats schrieben sie „Aufhebung der Herrschaft des abstrakt Allgemeinen“ u. s. w.
这种把自己的哲学词句硬塞进法国理论的作法，他们称之为“行动的哲学”、“真正的社会主义”、“德国的社会主义科学”、“社会主义的哲学论证”，等等。	Diese Unterschiebung ihrer philosophischen Redensarten unter die französischen Entwicklungen taufte sie „Philosophie der That“, „wahrer Socialismus“, „Deutsche Wissenschaft des Socialismus“, „Philosophische Begründung des Socialismus“ u. s. w.
法国的社会主义和共产主义的文献就这样被完全阉割了。	Die französisch-socialistisch kommunistische Literatur wurde so förmlich entmannt.
既然这种文献在德国人手里已不再表现一个阶级反对另一个阶级的斗争，于是德国人就认为：他们克服了“法国人的片面性”，他们不代表真实的要求，而代表真理的要求，不代表无产者的利益，而代表人的本质的利益，即一般人的利益，这种人不属于任何阶级，根本不存在于现实界，而只存在于云雾弥漫的哲学幻想的太空。	Und da sie in der Hand des Deutschen aufhörte, den Kampf einer Klasse gegen die andre auszudrücken, so war der Deutsche sich bewußt, die französische Einseitigkeit überwunden, statt wahrer Bedürfnisse, das Bedürfniß der Wahrheit, und statt die Interessen des Proletariers die Interessen des menschlichen Wesens, des Menschen überhaupt vertreten zu haben, des Menschen, der keiner Klasse, der überhaupt nicht der Wirklichkeit, der nur dem Dunsthimmel der philosophischen Phantasie angehört.
现在，这种曾经郑重其事地看待自己那一套拙劣的小学生作业并且大言不惭地加以吹嘘的德国社会主义，渐渐失去了它那种自炫博学的天真。	Dieser deutsche Socialismus, der seine unbeholfenen Schulübungen so ernst und feierlich nahm und so marktschreierisch ausposaunte, verlor indeß nach und nach seine pedantische Unschuld.
德国的特别是普鲁士的资产阶级反对封建主和君主专制的斗争，一句话，自由主义运动，愈来愈严重了。	Der Kampf der deutschen namentlich der preußischen Bourgeoisie gegen die Feudalen und das absolute Königthum, mit einem Wort, die liberale Bewegung wurde ernsthafter.
于是，“真正的”社会主义就得到了一个好机会，把社会主义的要求同政治运动对立起来，用诅咒异端邪说的传统办法诅咒自由主义，诅咒代议制国家，诅咒资产阶级的竞争、资产阶级的出版自由、资产阶级的法、资产阶级的自由和平等，并且向人民群众大肆宣扬，说什么在这个资产阶级运动中，人民群众非但一无所得，反而会失去一切。	Dem wahren Socialismus war so die erwünschte Gelegenheit geboten, der politischen Bewegung die socialistischen Forderungen gegenüber zu stellen. Die überlieferten Anatheme gegen den Liberalismus, gegen den Repräsentativ-Staat, gegen die bürgerliche Konkurrenz, bürgerliche Preßfreiheit, bürgerliches Recht, bürgerliche Freiheit und Gleichheit zu schleudern und der Volksmasse vorzupredigen, wie sie bei dieser bürgerlichen Bewegung nichts zu gewinnen, vielmehr Alles zu verlieren habe.
德国的社会主义恰好忘记了，法国的批判（德国的社会主义是这种批判的可怜的回声）是以现代的资产阶级社会以及相应的物质生活条件和相当的政治制度为前提的，而这一切前提当时在德国正是尚待争取的。	Der deutsche Socialismus vergaß rechtzeitig, daß die französische Kritik, deren geistloses Echo er war, die moderne bürgerliche Gesellschaft mit den entsprechenden materiellen Lebensbedingungen und der angemessenen politischen Konstitution voraussetzt, lauter Voraussetzungen, um deren Erkämpfung es sich erst in Deutschland handelte.
这种社会主义成了德意志各邦专制政府及其随从──僧侣、教员、容克地主和官僚求之不得的、吓唬来势汹汹的资产阶级的稻草人。	Er diente den deutschen absoluten Regierungen mit ihrem Gefolge von Pfaffen, Schulmeistern, Krautjunkern und Büreaukraten als erwünschte Vogelscheuche gegen die drohend aufstrebende Bourgeoisie.
这种社会主义是这些政府用来镇压德国工人起义的毒辣的皮鞭和枪弹的甜蜜的补充。	Er bildete die süßliche Ergänzung zu den bittern Peitschenhieben und Flintenkugeln, womit dieselben Regierungen die deutschen Arbeiter-Aufstände bearbeiteten.
既然“真正的”社会主义就这样成了这些政府对付德国资产阶级的武器，那末它也就直接代表了一种反动的利益，即德国小市民的利益。	[20] Ward der wahre Socialismus dergestalt eine Waffe in der Hand der Regierungen gegen die deutsche Bourgeoisie, so vertrat er auch unmittelbar ein reaktionäres Interesse, das Interesse der deutschen Pfahlbürgerschaft.
在德国，十六世纪遗留下来的、从那时起经常以不同形式重新出现的小资产阶级，是现存制度的真实的社会基础。	In Deutschland bildet das vom sechzehnten Jahrhundert her überlieferte und seit der Zeit in verschiedener Form hier immer neu wieder auftauchende Kleinbürgerthum die eigentliche gesellschaftliche Grundlage der bestehenden Zustände.
保存这个小资产阶级，就是保存德国的现存制度。	Seine Erhaltung ist die Erhaltung der bestehenden deutschen Zustände.
这个阶级胆战心惊地从资产阶级的工业统治和政治统治那里等候着无可幸免的灭亡，这一方面是由于资本的积聚，另一方面是由于革命无产阶级的兴起。	Von der industriellen und politischen Herrschaft der Bourgeoisie fürchtet es den sichern Untergang, einer Seits in Folge der Koncentration des Kapitals, anderer Seits durch das Aufkommen eines revolutionären Proletariats.
在它看来，“真正的”社会主义能起一箭双雕的作用。	Der wahre Socialismus schien ihm beide Fliegen mit einer Klappe zu schlagen.
“真正的”社会主义象瘟疫一样流行起来了。	Er verbreitete sich wie eine Epidemie.
德国的社会主义者给自己的那几条干瘪的“永恒真理”披上一件用思辨的蛛丝织成的、绣满华丽辞藻的花朵和浸透甜情蜜意的甘露的外衣，这件光彩夺目的外衣只是使他们的货物在这些顾客中间增加销路罢了。	Das Gewand, gewirkt aus spekulativem Spinnweb, überstickt mit schöngeistigen Redeblumen, durchtränkt von liebesschwülem Gemüthsthau, dies überschwängliche Gewand, worin die deutschen Socialisten ihre paar knöchernen ewigen Wahrheiten einhüllten, vermehrte nur den Absatz ihrer Waare bei diesem Publikum.
同时，德国的社会主义也愈来愈认识到自己的使命就是充当这种小市民的堂堂代表。	Seiner Seits erkannte der deutsche Socialismus immer mehr seinen Beruf, der hochtrabende Vertreter dieser Pfahlbürgerschaft zu sein.
它宣布德意志民族是模范的民族，德国小市民是模范的人。	Er proklamirte die deutsche Nation als die normale Nation und den deutschen Spießbürger als den Normal-Menschen.
它给这些小市民的每一种丑行都加上奥秘的、高尚的、社会主义的意义，使之变成完全相反的东西。	Er gab jeder Niedertracht desselben einen verborgenen höheren socialistischen Sinn, worin sie ihr Gegentheil bedeutete.
它贯彻到底，直接反对共产主义的“野蛮破坏的”倾向，并且宣布自己是不偏不倚的超乎任何阶级斗争之上的。	Er zog die letzte Konsequenz, indem er direkt gegen die rohdestruktive Richtung des Kommunismus auftrat, und seine unparteiische Erhabenheit über alle Klassenkämpfe verkündete.
现今在德国流行的一切所谓社会主义和共产主义的著作，除了极少数的例外，都属于这一类卑鄙龌龊的、令人委靡的文献。	Mit sehr wenigen Ausnahmen gehören alles, was in Deutschland von angeblich socialistischen und kommunistischen Schriften cirkulirt, in den Bereich dieser schmutzigen entnervenden Literatur.
2．保守的或资产阶级的社会主义	2) Der konservative oder Bourgeois-Socialismus.
资产阶级中的一部分人想要消除社会的弊病，以便保障资产阶级社会的生存。	Ein Theil der Bourgeoisie wünscht den socialen Mißständen abzuhelfen, um den Bestand der bürgerlichen Gesellschaft zu sichern.
这一部分人包括：经济学家、博爱主义者、人道主义者、劳动阶级状况改善派、慈善事业组织者、动物保护协会会员、戒酒运动协会发起人以及形形式色色的小改良家。这种资产阶级的社会主义甚至被制成一些完整的体系。	Es gehören hierher, Oekonomisten, Philantropen, Humanitäre, Verbesserer der Lage der arbeitenden Klassen, Wohlthätigkeits-Organisirer, Abschaffer der Thierquälerei, Mäßigkeits-Vereinsstifter, Winkelreformer der buntscheckigsten Art. Und auch zu ganzen Systemen ist dieser Bourgeois-Socialismus ausgearbeitet worden.
我们可以举蒲鲁东的《贫困的哲学》作为例子。	Als Beispiel führen wir Proudhon’s Philosophie de la misère an.
社会主义的资产者愿意要现代社会的生存条件，，但是不要由这些条件必然产生的斗争和危险。	Die socialistischen Bourgeois wollen die Lebensbedingungen der modernen Gesellschaft ohne die nothwendig daraus hervorgehenden Kämpfe und Gefahren.
他们愿意要现存的社会，但是不要那些使这个社会革命化和解体的因素。	Sie wollen die bestehende Gesellschaft mit Abzug der sie revolutionirenden und sie auflösenden Elemente.
他们愿意要资产阶级，但是不要无产阶级。	Sie wollen die Bourgeoisie ohne das Proletariat.
在资产阶级看来，它所统治的世界自然是最美好的世界。	Die Bourgeoisie stellt sich die Welt, worin sie herrscht, natürlich als die beste Welt vor.
资产阶级的社会主义把这种安慰人心的观念制成半套或整套的体系。	Der Bourgeois-Socialismus arbeitet diese tröstliche Vorstellung zu einem halben oder ganzen System aus.
它要求无产阶级实现它的体系，走进新的耶路撒冷，其实它不过是要求无产阶级停留在现今的社会里，但是要抛弃他们关于这个社会的可恶的观念。	Wenn er das Proletariat auffordert seine Systeme zu verwirklichen, um in das neue Jerusalem einzugehen, so verlangt er im Grunde nur, daß es in der jetzigen Gesellschaft stehen bleibe, aber seine gehässigen Vorstellungen von derselben abstreife.
这种社会主义的另一种不够系统、但是比较实际的形式，力图使工人阶级厌弃一切革命运动，硬说能给工人阶级带来好处的并不是这样或那样的政治改革，而仅仅是物质生活条件即经济关系的改变。	Eine zweite, weniger systematische und mehr praktische Form des Socialismus suchte der Arbeiterklasse jede revolutionäre Bewegung zu verleiden, durch den Nachweis, wie nicht diese oder jene politische Veränderung, sondern nur eine Veränderung der materiellen Lebensverhältnisse, der ökonomischen Verhältnisse [21] ihr von Nutzen sein könne.
但是，这种社会主义所理解的物质生活条件的改变，绝对不是只有通过革命的途径才能实现的资产阶级生产关系的消灭，而是一些行政上的改良，这些改良是在这种生产关系的基础上实行的，因而丝毫不会改变资本和雇佣劳动的关系，至多只能减少资产阶级的统治费用和简化它的国家行政事务。	Unter Veränderung der materiellen Lebensverhältnisse versteht dieser Socialismus aber keineswegs Abschaffung der bürgerlichen Produktions-Verhältnisse, die nur auf revolutionärem Wege möglich ist, sondern administrative Verbesserungen, die auf dem Boden dieser Produktionsverhältnisse vor sich gehen; also an dem Verhältniß von Kapital und Lohnarbeit nichts ändern, sondern im besten Fall der Bourgeoisie die Kosten ihrer Herrschaft vermindern und ihren Staatshaushalt vereinfachen.
资产阶级的社会主义只有在它变成纯粹的演说辞令的时候，才获得自己的适当的表现。	Seinen entsprechenden Ausdruck erreicht der Bourgeois-Socialismus erst da, wo er zur bloßen rednerischen Figur wird.
自由贸易！是为了工人阶级的利益：保护关税！是为了工人阶级的利益：单身牢房！	Freier Handel! im Interesse der arbeitenden Klasse; Schutzzölle! im Interesse der arbeitenden Klasse; Zellengefängnisse!
是为了工人阶级的利益。──这才是资产阶级的社会主义唯一认真说出的最后的话。	im Interesse der arbeitenden Klasse, das ist das letzte, das einzig ernst gemeinte Wort des Bourgeois-Socialismus.
资产阶级的社会主义归结起来就是这样一个论断：资产者之为资产者，是为了工人阶级的利益。	Ihr Socialismus besteht eben in der Behauptung, daß die Bourgeois Bourgeois sind im Interesse der arbeitenden Klasse.
3．批判的空想的社会主义和共产主义	3) Der kritisch-utopistische Socialismus und Kommunismus.
在这里，我们不谈在现代一切大革命中表达过无产阶级要求的文献（巴贝夫等人的著作）。	Wie reden hier nicht von der Literatur, die in allen großen modernen Revolutionen die Forderungen des Proletariats aussprach. (Schriften Babeufs u. s. w.)
无产阶级在普遍激动的时代、在推翻封建社会的时期直接实现自己阶级利益的最初尝试，都不可避免地遭到了失败，这是由于当时无产阶级本身还不够发展，由于无产阶级解放的物质条件还没有具备，这些条件只是资产阶级时代的产物。	Die ersten Versuche des Proletariats in einer Zeit allgemeiner Aufregung, in der Periode des Umsturzes der feudalen Gesellschaft direkt sein eigenes Klasseninteresse durchzusetzen, scheiterten nothwendig an der unentwickelten Gestalt des Proletariats selbst, wie an dem Mangel der materiellen Bedingungen seiner Befreiung, die eben erst das Produkt der bürgerlichen Epoche sind.
随着这些早期的无产阶级运动而出现的革命文献，就其内容来说必然是反动的。	Die revolutionäre Literatur, welche diese ersten Bewegungen des Proletariats begleitete, ist dem Inhalt nach nothwendig reaktionär.
这种文献倡导普遍的禁欲主义和粗陋的平均主义。	Sie lehrt einen allgemeinen Ascetismus und eine rohe Gleichmacherei.
本来意义的社会主义和共产主义的体系，圣西门、傅立叶、欧文等人的体系，是在无产阶级和资产阶级之间的斗争还不发展的最初时期出现的。	Die eigentlich socialistischen und kommunistischen Systeme, die Systeme St. Simons, Fouriers, Owens u. s. w. tauchen auf in der ersten unentwickelten Periode des Kampfs zwischen Proletariat und Bourgeoisie, die wir oben dargestellt haben.
关于这个时期，我们在前面已经叙述过了（见《资产阶级和无产阶级》）。	(S. Bourgeoisie und Proletariat.)
诚然，这些体系的发明家看到了阶级的对立，看到了统治着的社会本身中的破坏因素的作用。	Die Erfinder dieser Systeme sehen zwar den Gegensatz der Klassen, wie die Wirksamkeit der auflösenden Elemente in der herrschenden Gesellschaft selbst.
但是，他们看不到无产阶级方面的任何历史主动性，看不到它所特有的任何政治运动。	Aber sie erblicken auf der Seite der Proletariats keine geschichtliche Selbstthätigkeit, keine ihm eigenthümliche politische Bewegung.
由于阶级对立的发展是同工业的发展步调一致的，所以这些发明家也不可能看到无产阶级解放的物质条件，于是他们就去探求某种社会科学、社会规律，以便创造这些条件。	Da die Entwicklung des Klassengegensatzes gleichen Schritt hält mit der Entwicklung der Industrie, finden sie eben so wenig die materiellen Bedingungen zur Befreiung des Proletariats vor, und suchen nach einer socialen Wissenschaft, nach socialen Gesetzen, um diese Bedingungen zu schaffen.
这样，社会的活动就要由他们个人的发明活动来代替，解放的历史条件就要由幻想的条件来代替，无产阶级的逐步组织成为阶级就要由他们特意设计出来的社会组织来代替。	An die Stelle der gesellschaftlichen Thätigkeit muß ihre persönlich erfinderische Thätigkeit treten, an die Stelle der geschichtlichen Bedingungen der Befreiung phantastische, an die Stelle der allmählich vor sich gehenden Organisation des Proletariats zur Klasse eine eigens ausgeheckte Organisation der Gesellschaft.
在他们看来，今后的世界历史不过是宣传和实施他们的社会计划的历史。	Die kommende Weltgeschichte löst sich für sie auf in die Propaganda und die praktische Ausführung ihrer Gesellschaftspläne.
诚然，他们也意识到，他们的计划主要是代表工人阶级这一受苦最深的阶级的利益。	Sie sind sich zwar bewußt, in ihren Plänen hauptsächlich das Interesse der arbeitenden Klasse als der leidendsten Klasse zu vertreten.
在他们的心目中，无产阶级只是一个受苦最深的阶级。	Nur unter diesem Gesichtspunkt der leidendsten Klasse existirt das Proletariat für sie.
但是，由于阶级斗争不发展，由于他们本身的生活地位，他们就以为自己是高高超乎这种阶级对立之上的。	Die unentwickelte Form des Klassenkampfes, wie ihre eigene Lebenslage bringen es aber mit sich, daß sie weit über jenen Klassengegensatz erhaben zu sein glauben.
他们要改善社会一切成员的生活状况，甚至生活最优裕的成员也包括在内。	Sie wollen die Lebenslage aller Gesellschaftsglieder, auch [22] der bestgestellten verbessern.
因此，他们总是不加区别地向整个社会呼吁，而且主要是向统治阶级呼吁。	Sie appelliren daher fortwährend an die ganze Gesellschaft ohne Unterschied, ja vorzugsweise an die herrschende Klasse.
他们以为，人们只要理解他们的体系，就会承认这种体系是最美好的社会的最美好的计划。	Man braucht ihr System ja nur zu verstehen, um es als den bestmöglichen Plan der bestmöglichen Gesellschaft anzuerkennen.
因此，他们拒绝一切政治行动，特别是一切革命行动；他们想通过和平的途径达到自己的目的，并且企图通过一些小型的、当然不会成功的试验，通过示范的力量来为新的社会福音开辟道路。	Sie verwerfen daher alle politische, namentlich alle revolutionäre Aktion, sie wollen ihr Ziel auf friedlichem Wege erreichen und versuchen durch kleine natürlich fehlschlagende Experimente, durch die Macht des Beispiels dem neuen gesellschaftlichen Evangelium Bahn zu brechen.
这种对未来社会的幻想的描绘，是在无产阶级还很不发展、因而对本身的地位的认识还基于幻想的时候，同无产阶级对社会普遍改造的最初的本能的渴望相适应的。	Diese phantastische Schilderung der zukünftigen Gesellschaft entspricht in einer Zeit, wo das Proletariat noch höchst unentwickelt ist, also selbst noch phantastisch seine eigene Stellung auffaßt, seinem ersten ahnungsvollen Drängen nach einer allgemeinen Umgestaltung der Gesellschaft.
但是，这些社会主义和共产主义的著作也含有批判的成分。	Die socialistischen und kommunistischen Schriften bestehen aber auch aus kritischen Elementen.
这些著作抨击现存社会的全部基础。	Sie greifen alle Grundlagen der bestehenden Gesellschaft an.
因此，它们提供了启发工人觉悟的极为宝贵的材料。	Sie haben daher höchst werthvolles Material zur Aufklärung der Arbeiter geliefert.
它们关于未来社会的积极的主张，例如消灭城市和乡村的对立，消灭家庭，消灭私人经营，消灭雇佣劳动，提倡社会和谐，把国家变成纯粹的生产管理机构，──所有这些主张都只是表明要消灭阶级对立，而这种阶级对立在当时刚刚开始发展，它们所知道的只是这种对立的早期的、不明显的、不确定的形式。	Ihre positiven Sätze über die zukünftige Gesellschaft, z. B., Aufhebung des Gegensatzes von Stadt und Land, der Familie, des Privaterwerbs, der Lohnarbeit, die Verkündung der gesellschaftlichen Harmonie, die Verwandlung des Staats in eine bloße Verwaltung der Produktion – alle diese ihre Sätze drücken blos das Wegfallen des Klassengegensatzes aus, der eben erst sich zu entwickeln beginnt, den sie nur noch in seiner ersten gestaltlosen Unbestimmtheit kennen.
因此，这些主张本身还带有纯粹空想的性质。	Diese Sätze selbst haben daher noch einen rein utopistischen Sinn.
批判的空想的社会主义和共产主义的意义，是同历史的发展成反比。	Die Bedeutung des kritischen utopistischen Socialismus und Kommunismus steht im umgekehrten Verhältniß zur geschichtlichen Entwicklung.
阶级斗争愈发展和愈具有确定的形式，这种超乎阶级斗争的幻想，这种反对阶级斗争的幻想，就愈失去任何实践意义和任何理论根据。	In demselben Maaße, worin der Klassenkampf sich entwickelt und gestaltet, verliert diese phantastische Erhebung über denselben, diese phantastische Bekämpfung desselben, allen praktischen Werth, alle theoretische Berechtigung.
所以，虽然这些体系的创始人在许多方面是革命的，但是他们的信徒总是组成一些反动的宗派。	Waren daher die Urheber dieser Systeme auch in vieler Beziehung revolutionär, so bilden ihre Schüler jedesmal reaktionäre Sekten.
这些信徒无视无产阶级的历史进展，还是死守着老师们的旧观点。	Sie halten die alten Anschauungen der Meister fest gegenüber der geschichtlichen Fortentwicklung des Proletariats.
因此，他们一贯地企图削弱阶级斗争，调和对立。	Sie suchen daher konsequent den Klassenkampf wieder abzustumpfen und die Gegensätze zu vermitteln.
他们还总是梦想用试验的办法来实现自己的社会空想，创办单个的法伦斯泰尔，建立国内移民区，创立小伊加利亚，即袖珍版的新耶路撒冷，──而为了建造这一切空中楼阁，他们就不得不求助于资产阶级的善心和钱袋。	Sie träumen noch immer die versuchsweise Verwirklichung ihrer gesellschaftlichen Utopien, Stiftung einzelner Phalanstere, Gründung von home-Colonien, Errichtung eines kleinen Icariens, – Duodez-Ausgabe des neuen Jerusalems – und zum Aufbau aller dieser spanischen Schlösser müssen sie an die Philantropie der bürgerlichen Herzen und Geldsäcke appelliren.
他们逐渐地堕落到上述反动的或保守的社会主义者的一伙中去了，所不同的只是他们更加系统地卖弄学问，狂热地迷信自己那一套社会科学的奇功异效。	Allmählig fallen sie in die Categorie der oben geschilderten reaktionären oder konservativen Socialisten, und unterscheiden sich nur mehr von ihnen durch mehr systematische Pedanterie, durch den fanatischen Aberglauben an die Wunderwirkungen ihrer socialen Wissenschaft.
因此，他们激烈地反对工人的一切政治运动，认为这种运动只是由于盲目地不相信新福音才发生的。	Sie treten daher mit Erbitterung aller politischen Bewegung der Arbeiter entgegen, die nur aus blindem Unglauben an das neue Evangelium hervorgehen konnte.
在英国，有欧文主义者反对宪章派，在法国，有傅立叶主义者反对改革派。	Die Owenisten in England, die Fourieristen in Frankreich, reagiren dort gegen die Chartisten, hier gegen die Reformisten.
四、共产党人对各种反对党派的态度	IV. Stellung der Kommunisten zu den verschiedenen oppositionellen Parteien.
看过第二章之后，就可以了解共产党人对已经形成的工人政党的态度，因而也就可以了解他们对英国宪章派和北美土地改革派的态度。	Nach Abschnitt 2 versteht sich das Verhältniß der Kommunisten zu den bereits konstituirten Arbeiterparteien von selbst, also ihr Verhältniß zu den Chartisten in England und den agrarischen Reformern in Nordamerika.
共产党人为工人阶级的最近的目的和利益而斗争，但是他们在当前的运动中同时代表运动的未来。	Sie kämpfen für die Erreichung der unmittelbar vorliegenden Zwecke und Interessen der Arbeiterklasse, aber sie vertreten in der gegenwärtigen Bewegung zugleich die Zukunft der Bewegung.
在法国，共产党人同社会主义民主党联合起来反对保守的和激进的资产阶级，但是并不因此放弃对那些从革命的传统中产生出来的空谈和幻想采取批判态度的权利。	In Frankreich schließen sich die Kommunisten an die socialistisch-demokratische Partei an gegen die konservative und radikale Bourgeoisie, ohne darum das Recht aufzugeben sich kritisch zu den aus der revolutionären Ueberlieferung herrührenden Phrasen und Illusionen zu verhalten.
在瑞士，共产党人支持激进党人，但是并不忽略这个政党是由互相矛盾的分子组成的，其中一部分是法国式的民主社会主义者，一部分是激进的资产者。	In der Schweiz unterstützen sie die Radikalen, ohne zu verkennen, daß diese Partei aus widersprechenden Elementen besteht, theils aus demokratischen Socialisten im französischen Sinn, theils aus radikalen Bourgeois.
在波兰人中间，共产党人支持那个把土地革命当做民族解放的条件的政党，即发动过1846年克拉科夫起义的政党。	Unter den Polen unterstützen die Kommunisten die Partei, welche eine agrarische Revolution zur Bedingung der nationalen Befreiung macht. Dieselbe Partei, welche die Krakauer Insurrektion von 1846 in’s Leben rief.
在德国，只要资产阶级采取革命的行动，共产党就同它一起去反对君主专制、封建土地所有制和小市民的反动性。	In Deutschland kämpft die kommunistische Partei, sobald die Bourgeoisie revolutionär auftritt, gemeinsam mit der Bourgeoisie gegen die absolute Monarchie, das feudale Grundeigenthum und die Kleinbürgerei.
但是，共产党一分钟也不忽略教育工人尽可能明确地意识到资产阶级和无产阶级的敌对的对立，以便德国工人能够立刻利用资产阶级统治所必然带来的社会的和政治的条件作为反对资产阶级的武器，以便在推翻德国的反动阶级之后立即开始反对资产阶级本身的斗争。	Sie unterläßt aber keinen Augenblick bei den Arbeitern ein möglichst klares Bewußtsein über den feindlichen Gegensatz zwischen Bourgeoisie und Proletariat herauszuarbeiten, damit die deutschen Arbeiter sogleich die gesellschaftlichen und politischen Bedingungen, welche die Bourgeoisie mit ihrer Herrschaft herbeiführen muß, als eben so viele Waffen gegen die Bourgeoisie kehren können, damit, nach dem Sturz der reaktionären Klassen in Deutschland, sofort der Kampf gegen die Bourgeoisie selbst beginnt.
